,kernel,c,gamma,accuracy,runtime
86,rbf,10.0,1e-07,0.93,2.327
110,rbf,1000.0,1e-07,0.9285,2.057
98,rbf,100.0,1e-07,0.9285,2.055
122,rbf,10000.0,1e-07,0.9285,2.24
134,rbf,100000.0,1e-07,0.9285,2.08
74,rbf,1.0,1e-07,0.9145,2.487
96,rbf,100.0,1e-09,0.906,2.063
107,rbf,1000.0,1e-10,0.9055,2.135
85,rbf,10.0,1e-08,0.905,2.163
97,rbf,100.0,1e-08,0.904,1.692
133,rbf,100000.0,1e-08,0.9015,1.6
121,rbf,10000.0,1e-08,0.9015,1.968
109,rbf,1000.0,1e-08,0.9015,1.722
119,rbf,10000.0,1e-10,0.898,1.737
108,rbf,1000.0,1e-09,0.898,1.655
132,rbf,100000.0,1e-09,0.8965,1.545
120,rbf,10000.0,1e-09,0.8965,1.651
1,linear,0.0001,,0.896,1.097
0,linear,1e-05,,0.896,1.103
3,linear,0.01,,0.896,1.229
10,linear,100000.0,,0.896,1.863
6,linear,10.0,,0.896,1.222
7,linear,100.0,,0.896,1.401
8,linear,1000.0,,0.896,1.38
9,linear,10000.0,,0.896,1.316
4,linear,0.1,,0.896,1.115
5,linear,1.0,,0.896,1.311
2,linear,0.001,,0.896,1.106
131,rbf,100000.0,1e-10,0.896,1.554
111,rbf,1000.0,1e-06,0.8845,5.61
99,rbf,100.0,1e-06,0.8845,5.495
135,rbf,100000.0,1e-06,0.8845,5.648
87,rbf,10.0,1e-06,0.8845,5.724
123,rbf,10000.0,1e-06,0.8845,5.979
75,rbf,1.0,1e-06,0.8805,5.982
95,rbf,100.0,1e-10,0.837,4.065
84,rbf,10.0,1e-09,0.837,4.182
73,rbf,1.0,1e-08,0.833,4.142
62,rbf,0.1,1e-07,0.8135,4.829
63,rbf,0.1,1e-06,0.2145,5.622
88,rbf,10.0,1e-05,0.1415,6.018
124,rbf,10000.0,1e-05,0.1415,6.629
100,rbf,100.0,1e-05,0.1415,6.436
136,rbf,100000.0,1e-05,0.1415,5.885
112,rbf,1000.0,1e-05,0.1415,6.12
76,rbf,1.0,1e-05,0.137,6.377
83,rbf,10.0,1e-10,0.127,6.262
72,rbf,1.0,1e-09,0.125,5.875
61,rbf,0.1,1e-08,0.114,5.735
41,rbf,0.001,0.0001,0.11,6.511
29,rbf,0.0001,0.0001,0.11,6.538
65,rbf,0.1,0.0001,0.11,7.324
17,rbf,1e-05,0.0001,0.11,6.434
53,rbf,0.01,0.0001,0.11,6.933
59,rbf,0.1,1e-10,0.1095,6.106
60,rbf,0.1,1e-09,0.1095,6.291
71,rbf,1.0,1e-10,0.1095,5.775
47,rbf,0.01,1e-10,0.1095,6.798
23,rbf,0.0001,1e-10,0.1095,5.76
24,rbf,0.0001,1e-09,0.1095,5.928
11,rbf,1e-05,1e-10,0.1095,6.25
12,rbf,1e-05,1e-09,0.1095,6.129
35,rbf,0.001,1e-10,0.1095,6.23
36,rbf,0.001,1e-09,0.1095,5.854
48,rbf,0.01,1e-09,0.1095,6.158
49,rbf,0.01,1e-08,0.109,6.521
38,rbf,0.001,1e-07,0.109,5.744
37,rbf,0.001,1e-08,0.109,5.74
25,rbf,0.0001,1e-08,0.109,5.845
50,rbf,0.01,1e-07,0.109,6.285
13,rbf,1e-05,1e-08,0.109,6.072
14,rbf,1e-05,1e-07,0.109,5.747
26,rbf,0.0001,1e-07,0.109,5.821
39,rbf,0.001,1e-06,0.104,5.798
15,rbf,1e-05,1e-06,0.104,6.007
51,rbf,0.01,1e-06,0.104,6.603
27,rbf,0.0001,1e-06,0.104,6.169
117,rbf,1000.0,1.0,0.093,6.438
114,rbf,1000.0,0.001,0.093,6.306
115,rbf,1000.0,0.01,0.093,6.588
116,rbf,1000.0,0.1,0.093,6.417
30,rbf,0.0001,0.001,0.093,5.843
106,rbf,100.0,10.0,0.093,6.007
105,rbf,100.0,1.0,0.093,6.157
57,rbf,0.01,1.0,0.093,6.295
19,rbf,1e-05,0.01,0.093,5.689
118,rbf,1000.0,10.0,0.093,6.257
22,rbf,1e-05,10.0,0.093,5.798
21,rbf,1e-05,1.0,0.093,5.872
20,rbf,1e-05,0.1,0.093,6.044
103,rbf,100.0,0.01,0.093,6.587
18,rbf,1e-05,0.001,0.093,5.593
126,rbf,10000.0,0.001,0.093,5.827
127,rbf,10000.0,0.01,0.093,5.968
128,rbf,10000.0,0.1,0.093,6.296
129,rbf,10000.0,1.0,0.093,5.781
130,rbf,10000.0,10.0,0.093,6.256
138,rbf,100000.0,0.001,0.093,5.931
139,rbf,100000.0,0.01,0.093,5.998
140,rbf,100000.0,0.1,0.093,6.178
141,rbf,100000.0,1.0,0.093,6.72
104,rbf,100.0,0.1,0.093,6.179
31,rbf,0.0001,0.01,0.093,5.787
102,rbf,100.0,0.001,0.093,6.425
82,rbf,1.0,10.0,0.093,6.133
56,rbf,0.01,0.1,0.093,6.273
55,rbf,0.01,0.01,0.093,6.661
54,rbf,0.01,0.001,0.093,6.8
66,rbf,0.1,0.001,0.093,6.056
67,rbf,0.1,0.01,0.093,6.14
68,rbf,0.1,0.1,0.093,5.737
69,rbf,0.1,1.0,0.093,5.769
70,rbf,0.1,10.0,0.093,5.815
46,rbf,0.001,10.0,0.093,6.134
45,rbf,0.001,1.0,0.093,7.057
44,rbf,0.001,0.1,0.093,6.665
78,rbf,1.0,0.001,0.093,6.125
80,rbf,1.0,0.1,0.093,6.124
81,rbf,1.0,1.0,0.093,6.419
79,rbf,1.0,0.01,0.093,6.24
43,rbf,0.001,0.01,0.093,6.784
92,rbf,10.0,0.1,0.093,6.142
58,rbf,0.01,10.0,0.093,6.794
32,rbf,0.0001,0.1,0.093,5.852
33,rbf,0.0001,1.0,0.093,5.915
34,rbf,0.0001,10.0,0.093,5.722
94,rbf,10.0,10.0,0.093,6.473
93,rbf,10.0,1.0,0.093,6.314
42,rbf,0.001,0.001,0.093,5.823
142,rbf,100000.0,10.0,0.093,5.987
91,rbf,10.0,0.01,0.093,6.316
90,rbf,10.0,0.001,0.093,6.178
113,rbf,1000.0,0.0001,0.0915,7.037
77,rbf,1.0,0.0001,0.0915,6.764
125,rbf,10000.0,0.0001,0.0915,7.076
28,rbf,0.0001,1e-05,0.0915,5.702
64,rbf,0.1,1e-05,0.0915,5.923
137,rbf,100000.0,0.0001,0.0915,6.417
52,rbf,0.01,1e-05,0.0915,6.236
89,rbf,10.0,0.0001,0.0915,6.872
101,rbf,100.0,0.0001,0.0915,6.92
40,rbf,0.001,1e-05,0.0915,5.703
16,rbf,1e-05,1e-05,0.0915,5.672
